id,CountyName,StateName,geocentroid,popcentroid,difference,area,population,WeightedDifference
46065,Hughes,South Dakota,"44.39032162,-99.99727182","44.382662,-100.305241",24554.9,1920.63,17022,560.3
04027,Yuma,Arizona,"32.76909353,-113.906256","32.65004,-114.598663",66247.7,14281.17,195751,554.4
12097,Osceola,Florida,"28.06175702,-81.14781416","28.266765,-81.383484",32432.9,3438.09,268685,553.1
41047,Marion,Oregon,"44.90126714,-122.5775048","44.96169,-122.954793",30530.9,3062.21,315335,551.7
32015,Lander,Nevada,"39.93323848,-117.0382944","40.520911,-116.94321",65754.5,14219.31,5775,551.4
22099,St. Martin,Louisiana,"30.13139968,-91.61277445","30.229052,-91.835169",23999.3,1910.5,52160,549.1
26061,Houghton,Michigan,"46.89802474,-88.6874288","47.12765,-88.54161",27831.6,2613.55,36628,544.4
53021,Franklin,Washington,"46.53624827,-118.8989736","46.304218,-119.11931",30856.9,3217.21,78163,544
23019,Penobscot,Maine,"45.40041468,-68.65103553","44.953036,-68.79423",50977.6,8799.13,153923,543.5
16045,Gem,Idaho,"44.05341338,-116.4020252","43.884323,-116.506739",20581.5,1452.72,16719,540
02020,Anchorage,Alaska,"61.14988183,-149.1348628","61.192232,-149.793182",35741.1,4415.11,291826,537.9
48247,Jim Hogg,Texas,"27.04248353,-98.69723241","27.304609,-98.68362",29076.5,2942.58,5300,536
53061,Snohomish,Washington,"48.0469048,-121.6929779","47.929139,-122.189388",39298.9,5406.01,713335,534.5
53009,Clallam,Washington,"48.04913496,-123.9281019","48.094258,-123.451968",35835.3,4502.25,71404,534.1
27007,Beltrami,Minnesota,"47.97389129,-94.93740758","47.591009,-94.863032",42934.5,6487.76,44442,533
53001,Adams,Washington,"46.98373687,-118.5596721","46.865676,-119.02242",37608.6,4985.67,18728,532.6
12085,Martin,Florida,"27.07788037,-80.43169869","27.1443,-80.244395",19977.5,1407.57,146318,532.5
32019,Lyon,Nevada,"39.021831,-119.1874767","39.34878,-119.325133",38196.4,5183.05,51980,530.6
41065,Wasco,Oregon,"45.16250425,-121.1675723","45.536003,-121.202594",41600.8,6168.11,25213,529.7
20109,Logan,Kansas,"38.91735806,-101.148475","39.098288,-100.925261",27879.3,2779.04,2756,528.9
12033,Escambia,Florida,"30.66590519,-87.36460249","30.485314,-87.274788",21795.8,1700.23,297619,528.6
27103,Nicollet,Minnesota,"44.35177905,-94.24660299","44.265357,-94.06079",17664.3,1161.59,32727,518.3
26109,Menominee,Michigan,"45.5815177,-87.55540611","45.341048,-87.582124",26807.6,2704.15,24029,515.5
04019,Pima,Arizona,"32.09721499,-111.7904483","32.216707,-110.96001",79449.3,23794.31,980263,515.1
16005,Bannock,Idaho,"42.66915031,-112.2259492","42.869212,-112.423672",27492,2880.04,82839,512.3
49051,Wasatch,Utah,"40.33067735,-111.1711036","40.505696,-111.412248",28223.4,3044.53,23530,511.5
26043,Dickinson,Michigan,"46.01114754,-87.86950685","45.833651,-88.01381",22683.1,1972.02,26168,510.8
48109,Culberson,Texas,"31.44640295,-104.5177005","31.071834,-104.821069",50592.6,9875.1,2398,509.1
23007,Franklin,Maine,"44.9689452,-70.43983532","44.70749,-70.225634",33631,4394.2,30768,507.3
12021,Collier,Florida,"26.11813844,-81.34618614","26.199831,-81.699625",36478.3,5175.64,321520,507.1
49025,Kane,Utah,"37.28456439,-111.8868807","37.114838,-112.425977",51433.3,10334.65,7125,505.9
56039,Teton,Wyoming,"43.93507898,-110.5891272","43.494174,-110.784353",51451.9,10347.98,21294,505.8
12015,Charlotte,Florida,"26.90457784,-81.9141612","26.954793,-82.119946",21181.7,1761.91,159978,504.6
49017,Garfield,Utah,"37.85381576,-111.4397175","37.76185,-112.088923",58073.8,13403.5,5172,501.6
08039,Elbert,Colorado,"39.28683008,-104.1358018","39.382868,-104.51913",34726.6,4793.67,23086,501.6
48007,Aransas,Texas,"28.13108242,-97.00874838","28.030072,-97.071875",12798.6,652.87,23158,500.9
45035,Dorchester,South Carolina,"33.0776276,-80.40264621","33.000816,-80.21761",19269.8,1484.67,136555,500.1
53007,Chelan,Washington,"47.87268864,-120.6161279","47.530217,-120.344707",43184.4,7564.12,72453,496.5
06041,Marin,California,"38.07262391,-122.7223466","37.986705,-122.547075",18103.9,1347.59,252409,493.2
49001,Beaver,Utah,"38.35777683,-113.2307879","38.299707,-112.776347",40255.2,6707.76,6629,491.5
12081,Manatee,Florida,"27.47178124,-82.31546641","27.477054,-82.532775",21485.6,1924.18,322833,489.8
06115,Yuba,California,"39.26629857,-121.3473603","39.13883,-121.506626",19736.4,1636.46,72155,487.9
41005,Clackamas,Oregon,"45.18667815,-122.221612","45.363365,-122.57415",33924,4844.11,375992,487.4
72029,Canvanas,Puerto Rico,"18.31962444,-65.88438224","18.358909,-65.894869",4487.2,85.12,47648,486.4
51510,Alexandria,Virginia,"38.82211892,-77.0577567","38.820052,-77.09256",3031.2,38.92,139966,485.9
49045,Tooele,Utah,"40.44878906,-113.1306253","40.56078,-112.379217",64893.2,17978.02,58218,484
29127,Marion,Missouri,"39.80471912,-91.62646235","39.740805,-91.455661",16263.5,1131.63,28781,483.5
49011,Davis,Utah,"40.9903311,-112.1138081","41.01957,-111.958756",13442.4,773.83,306479,483.2
41049,Morrow,Oregon,"45.41761971,-119.5842554","45.730088,-119.612758",34799.8,5261.84,11173,479.7
22051,Jefferson,Louisiana,"29.82756148,-90.13522679","29.945261,-90.153175",13161.7,765.68,432552,475.7
41013,Crook,Oregon,"44.14239527,-120.3563914","44.285943,-120.839327",41760.9,7715.8,20978,475.4
