geox,geoy,geo_id,state,county,name,censusarea,statename,pop,popy,popx
-82.31463981,38.82665524,0500000US39053,39,53,Gallia,466.53,Ohio,30934,38.830629,-82.274096
-94.40462464,39.89209617,0500000US29063,29,63,DeKalb,421.356,Missouri,12892,39.81961,-94.340504
-90.09270732,36.26775698,0500000US29069,29,69,Dunklin,541.069,Missouri,31953,36.326743,-90.059209
-93.99223741,40.35479064,0500000US29081,29,81,Harrison,722.504,Missouri,8957,40.313851,-94.000823
-92.69713692,39.14360952,0500000US29089,29,89,Howard,463.849,Missouri,10144,39.139325,-92.705762
-91.88676182,36.77393107,0500000US29091,29,91,Howell,927.248,Missouri,40400,36.793133,-91.873823
-76.96506281,36.06973117,0500000US37015,37,15,Bertie,699.27,North Carolina,21282,36.083776,-76.968883
-81.71046472,35.75025792,0500000US37023,37,23,Burke,507.099,North Carolina,90912,35.730474,-81.638347
-76.17906398,36.36504058,0500000US37029,37,29,Camden,240.556,North Carolina,9980,36.36267,-76.19176
-76.64801903,34.82244128,0500000US37031,37,31,Carteret,506.251,North Carolina,66469,34.746773,-76.804454
-89.29628745,36.8182574,0500000US29133,29,133,Mississippi,411.583,Missouri,14358,36.857051,-89.365459
-89.65081704,36.59012479,0500000US29143,29,143,New Madrid,674.84,Missouri,18956,36.605307,-89.65871
-91.40328909,36.68737292,0500000US29149,29,149,Oregon,789.796,Missouri,10881,36.618129,-91.464771
-89.78528039,36.2075453,0500000US29155,29,155,Pemiscot,492.544,Missouri,18296,36.181794,-89.748715
-94.77565603,39.3796539,0500000US29165,29,165,Platte,420.19,Missouri,89322,39.262166,-94.684698
-78.36421592,35.51788492,0500000US37101,37,101,Johnston,791.299,North Carolina,168878,35.560263,-78.411954
-77.6384862,35.23921949,0500000US37107,37,107,Lenoir,400.591,North Carolina,59495,35.262323,-77.631874
-83.42439306,35.15290478,0500000US37113,37,113,Macon,515.558,North Carolina,33922,35.157148,-83.380756
-80.83134425,35.2422939,0500000US37119,37,119,Mecklenburg,523.842,North Carolina,919628,35.223469,-80.81662
-79.48177306,35.31062439,0500000US37125,37,125,Moore,697.843,North Carolina,88247,35.244618,-79.44678
-94.65858113,35.88483731,0500000US40001,40,1,Adair,573.477,Oklahoma,22683,35.887523,-94.63575
-100.4758058,36.74975814,0500000US40007,40,7,Beaver,1814.672,Oklahoma,5636,36.818228,-100.616419
-94.99980896,35.90692775,0500000US40021,40,21,Cherokee,749.408,Oklahoma,46987,35.900171,-94.994163
-95.55250071,34.02531654,0500000US40023,40,23,Choctaw,770.357,Oklahoma,15205,34.020247,-95.533567
-98.3671028,34.29139364,0500000US40033,40,33,Cotton,632.654,Oklahoma,6193,34.307791,-98.332256
-94.80299152,36.40802826,0500000US40041,40,41,Delaware,738.177,Oklahoma,41487,36.463017,-94.794943
-97.88392102,35.01510131,0500000US40051,40,51,Grady,1100.497,Oklahoma,52431,35.099526,-97.861894
-81.70535599,36.22683351,0500000US37189,37,189,Watauga,312.556,North Carolina,51079,36.220299,-81.685479
-96.61871762,30.49321847,0500000US48051,48,51,Burleson,659.026,Texas,17187,30.479774,-96.646318
-108.7148591,31.91390364,0500000US35023,35,23,Hidalgo,3436.861,New Mexico,4894,32.275633,-108.76674
-107.7489183,32.18195294,0500000US35029,35,29,Luna,2965.188,New Mexico,25095,32.217487,-107.740412
-108.2615985,35.58024736,0500000US35031,35,31,McKinley,5449.809,New Mexico,71492,35.511504,-108.63423
-105.7417976,32.61327972,0500000US35035,35,35,Otero,6613.209,New Mexico,63797,32.806642,-105.989844
-85.41020541,35.37215255,0500000US47153,47,153,Sequatchie,265.858,Tennessee,14112,35.354219,-85.392052
-89.89641239,35.18679422,0500000US47157,47,157,Shelby,763.174,Tennessee,927644,35.131228,-89.894188
-82.29714844,36.51466664,0500000US47163,47,163,Sullivan,413.363,Tennessee,156823,36.531452,-82.394917
-82.43504171,36.10821022,0500000US47171,47,171,Unicoi,186.165,Tennessee,18313,36.149453,-82.396177
-87.788476,35.23679737,0500000US47181,47,181,Wayne,734.1,Tennessee,17021,35.257711,-87.789817
-80.70532142,34.68704141,0500000US45057,45,57,Lancaster,549.16,South Carolina,76652,34.758129,-80.74724
-74.15238026,40.58072907,0500000US36085,36,85,Richmond,58.37,New York,468730,40.588523,-74.137304
-76.88032488,42.39440799,0500000US36097,36,97,Schuyler,328.333,New York,18343,42.387815,-76.869122
-74.76435656,41.71604325,0500000US36105,36,105,Sullivan,968.132,New York,77547,41.700086,-74.707459
-74.25977911,41.88766444,0500000US36111,36,111,Ulster,1124.235,New York,182493,41.841064,-74.100745
-73.42836081,43.30725765,0500000US36115,36,115,Washington,831.184,New York,63216,43.290255,-73.458693
-73.75642794,41.1616427,0500000US36119,36,119,Westchester,430.497,New York,949113,41.040536,-73.804532
-81.18075197,34.97439667,0500000US45091,45,91,York,680.595,South Carolina,226073,34.991083,-81.06181
-97.88290815,42.98513509,0500000US46009,46,9,Bon Homme,563.701,South Dakota,7070,42.965559,-97.860351
-98.35163883,45.590046,0500000US46013,46,13,Brown,1712.981,South Dakota,36531,45.477807,-98.448464
-100.0484,45.771465,0500000US46021,46,21,Campbell,733.677,South Dakota,1466,45.802878,-100.101667
-93.45346002,36.74530377,0500000US29209,29,209,Stone,464.033,Missouri,32202,36.717605,-93.438433
-94.34255591,37.84815719,0500000US29217,29,217,Vernon,826.398,Missouri,21159,37.835598,-94.340355
-94.41871211,40.47895061,0500000US29227,29,227,Worth,266.613,Missouri,2171,40.482258,-94.438797
-112.9035508,45.13537743,0500000US30001,30,1,Beaverhead,5541.624,Montana,9246,45.221056,-112.696186
-80.69087119,36.4114457,0500000US37171,37,171,Surry,532.166,North Carolina,73673,36.431314,-80.656971
-76.19627927,35.81793551,0500000US37177,37,177,Tyrrell,389.035,North Carolina,4407,35.907144,-76.238874
-81.09070741,40.29321299,0500000US39067,39,67,Harrison,402.339,Ohio,15864,40.308636,-81.050672
-82.4771327,39.49637839,0500000US39073,39,73,Hocking,421.323,Ohio,29380,39.522194,-82.446275
-82.61552779,39.0210631,0500000US39079,39,79,Jackson,420.304,Ohio,33225,39.036265,-82.610661
-96.64288866,28.49756661,0500000US48057,48,57,Calhoun,506.84,Texas,21381,28.586063,-96.625056
-94.60584198,29.73769922,0500000US48071,48,71,Chambers,597.137,Texas,35096,29.801262,-94.741728
-98.55833628,31.94792099,0500000US48093,48,93,Comanche,937.754,Texas,13974,31.969672,-98.557373
-97.21523111,33.6374223,0500000US48097,48,97,Cooke,874.759,Texas,38437,33.610424,-97.137065
-76.61070426,39.30112158,0500000US24510,24,510,Baltimore,80.944,Maryland,620961,39.314892,-76.619614
-81.27523214,33.89810184,0500000US45063,45,63,Lexington,698.913,South Carolina,262391,33.958732,-81.213684
-79.36075477,34.08007844,0500000US45067,45,67,Marion,489.227,South Carolina,33062,34.164265,-79.336829
-82.7260833,34.88714391,0500000US45077,45,77,Pickens,496.407,South Carolina,119224,34.809329,-82.686452
-89.69501693,46.40728735,0500000US26053,26,53,Gogebic,1101.849,Michigan,16427,46.435975,-89.978538
-96.97559021,42.91527781,0500000US46027,46,27,Clay,412.185,South Dakota,13864,42.811174,-96.93806
-101.1951585,45.70887746,0500000US46031,46,31,Corson,2469.692,South Dakota,4050,45.764089,-100.924599
-103.5276507,43.23945589,0500000US46047,46,47,Fall River,1739.915,South Dakota,7094,43.388192,-103.514809
-99.1873981,43.19446336,0500000US46053,46,53,Gregory,1014.957,South Dakota,4271,43.182985,-99.278797
-94.93740758,47.97389129,0500000US27007,27,7,Beltrami,2504.94,Minnesota,44442,47.591009,-94.863032
-94.7277132,44.24070671,0500000US27015,27,15,Brown,611.09,Minnesota,25893,44.284244,-94.599226
-94.32686852,46.94968622,0500000US27021,27,21,Cass,2021.542,Minnesota,28567,46.814565,-94.415763
-96.4897064,46.89307117,0500000US27027,27,27,Clay,1045.366,Minnesota,58999,46.857998,-96.672421
-99.88261362,43.34478076,0500000US46123,46,123,Tripp,1612.446,South Dakota,5644,43.349802,-99.851545
-97.39504021,43.00839778,0500000US46135,46,135,Yankton,521.164,South Dakota,22438,42.902431,-97.394907
-104.5365487,45.51693074,0500000US30011,30,11,Carter,3340.752,Montana,1160,45.679127,-104.523733
-105.5714886,46.25244842,0500000US30017,30,17,Custer,3783.362,Montana,11699,46.403369,-105.817008
-104.4185952,46.33493881,0500000US30025,30,25,Fallon,1620.772,Montana,2890,46.358863,-104.309448
-109.2243655,47.2645398,0500000US30027,30,27,Fergus,4339.803,Montana,11586,47.097548,-109.417095
-106.9936244,47.27727552,0500000US30033,30,33,Garfield,4675.356,Montana,1206,47.299773,-106.97783
-113.4412377,46.40473105,0500000US30039,30,39,Granite,1727.415,Montana,3079,46.448832,-113.293879
-110.2677375,47.04627415,0500000US30045,30,45,Judith Basin,1869.821,Montana,2072,47.102395,-110.177445
-96.13630881,40.64838775,0500000US31131,31,131,Otoe,615.631,Nebraska,15740,40.669495,-96.029874
-71.1176245,41.79791922,0500000US25005,25,5,Bristol,553.096,Massachusetts,548285,41.793219,-71.108301
-70.95602994,42.67259935,0500000US25009,25,9,Essex,492.563,Massachusetts,743159,42.62479,-70.987816
-70.07344066,41.2842278,0500000US25019,25,19,Nantucket,44.97,Massachusetts,10172,41.267912,-70.09112
-74.40933361,40.43861106,0500000US34023,34,23,Middlesex,308.914,New Jersey,809858,40.485529,-74.387921
-85.56134538,44.66788953,0500000US26055,26,55,Grand Traverse,464.331,Michigan,86986,44.710656,-85.607171
-101.1354293,41.91586243,0500000US31091,31,91,Hooker,721.121,Nebraska,736,42.016041,-101.062839
-97.14257333,40.17582077,0500000US31095,31,95,Jefferson,570.185,Nebraska,7547,40.164028,-97.140354
-99.70934386,42.87915093,0500000US31103,31,103,Keya Paha,773.072,Nebraska,824,42.868344,-99.703607
-100.7458482,41.04740505,0500000US31111,31,111,Lincoln,2564.068,Nebraska,36288,41.119635,-100.78923
-90.0351751,32.63348111,0500000US28089,28,89,Madison,714.506,Mississippi,95203,32.510711,-90.098347
-89.50143103,34.76013874,0500000US28093,28,93,Marshall,706.193,Mississippi,37144,34.815764,-89.542843
-90.53074991,47.9036024,0500000US27031,27,31,Cook,1452.277,Minnesota,5176,47.783499,-90.337909
-92.72277503,44.40989208,0500000US27049,27,49,Goodhue,756.838,Minnesota,46183,44.449072,-92.667524
-91.49538302,43.67120883,0500000US27055,27,55,Houston,552.058,Minnesota,19027,43.718927,-91.440063
-77.08121389,35.11739606,0500000US37049,37,49,Craven,708.958,North Carolina,103505,35.066758,-77.038555
-78.829836,35.04291754,0500000US37051,37,51,Cumberland,652.315,North Carolina,319431,35.056493,-78.936138
-77.39713928,36.41416647,0500000US37131,37,131,Northampton,536.589,North Carolina,22099,36.431948,-77.434731
-76.73378162,35.13676528,0500000US37137,37,137,Pamlico,336.537,North Carolina,13144,35.105356,-76.775886
-82.16666317,35.27850429,0500000US37149,37,149,Polk,237.789,North Carolina,20510,35.258669,-82.17545
-79.10522022,34.64034063,0500000US37155,37,155,Robeson,949.221,North Carolina,134168,34.674582,-79.093867
-75.36814636,40.21290754,0500000US42091,42,91,Montgomery,483.04,Pennsylvania,799874,40.169886,-75.313634
-76.71092618,40.85059074,0500000US42097,42,97,Northumberland,458.368,Pennsylvania,94528,40.873395,-76.682108
-75.03147346,41.33029794,0500000US42103,42,103,Pike,544.961,Pennsylvania,57369,41.302232,-74.985987
-74.21608081,40.26648786,0500000US34025,34,25,Monmouth,468.793,New Jersey,630380,40.291301,-74.14773
-74.31099789,40.66027235,0500000US34039,34,39,Union,102.855,New Jersey,536499,40.659609,-74.294239
-108.4049365,33.91449143,0500000US35003,35,3,Catron,6923.69,New Mexico,3725,33.928093,-108.549207
-104.4668327,33.362645,0500000US35005,35,5,Chaves,6065.275,New Mexico,65645,33.364652,-104.51261
-103.3469236,34.57402001,0500000US35009,35,9,Curry,1404.797,New Mexico,48376,34.420099,-103.215708
-114.9900093,47.14329857,0500000US30061,30,61,Mineral,1219.437,Montana,4223,47.185566,-114.899744
-102.5285464,46.09690473,0500000US38001,38,1,Adams,987.619,North Dakota,2343,46.032949,-102.625989
-72.11008536,41.48841779,0500000US09011,9,11,New London,664.878,Connecticut,274055,41.443373,-72.097683
-75.56908557,39.08650081,0500000US10001,10,1,Kent,586.179,Delaware,162310,39.12322,-75.558604
-75.64786884,39.58184878,0500000US10003,10,3,New Castle,426.286,Delaware,538479,39.68502,-75.634376
-80.73098102,28.29220722,0500000US12009,12,9,Brevard,1015.664,Florida,543376,28.232195,-80.690979
-82.74006672,29.31775601,0500000US12075,12,75,Levy,1118.206,Florida,40801,29.379995,-82.666319
-90.63236626,35.83017795,0500000US05031,5,31,Craighead,707.206,Arkansas,96443,35.835235,-90.669325
-90.30838651,35.203761,0500000US05035,5,35,Crittenden,609.76,Arkansas,50902,35.17736,-90.217261
-91.2662775,33.83296484,0500000US05041,5,41,Desha,768.152,Arkansas,13008,33.773838,-91.417485
-93.66764699,33.73074457,0500000US05057,5,57,Hempstead,727.52,Arkansas,22609,33.699647,-93.623587
-91.56870282,35.74206824,0500000US05063,5,63,Independence,763.953,Arkansas,36647,35.749801,-91.607539
-91.93595269,34.2727043,0500000US05069,5,69,Jefferson,870.746,Arkansas,77435,34.233473,-92.041179
-91.10834359,36.04245689,0500000US05075,5,75,Lawrence,587.614,Arkansas,17415,36.070224,-91.065733
-90.78725302,34.78444506,0500000US05077,5,77,Lee,602.621,Arkansas,10424,34.785214,-90.774516
-112.5554107,34.59965331,0500000US04025,4,25,Yavapai,8123.499,Arizona,211033,34.629014,-112.267767
-92.33783024,36.28827119,0500000US05005,5,5,Baxter,554.283,Arkansas,41513,36.332208,-92.383933
-94.24979933,36.33792734,0500000US05007,5,7,Benton,847.357,Arkansas,221339,36.337348,-94.230543
-116.1703761,42.58179696,0500000US16073,16,73,Owyhee,7665.511,Idaho,11526,43.376748,-116.681558
-115.5656429,44.76672543,0500000US16085,16,85,Valley,3664.515,Idaho,9862,44.758677,-116.073719
-116.7779159,44.45341377,0500000US16087,16,87,Washington,1452.982,Idaho,10198,44.297898,-116.919922
-90.66182604,39.15998489,0500000US17013,17,13,Calhoun,253.825,Illinois,5089,39.12353,-90.63801
-89.27704661,39.54535838,0500000US17021,17,21,Christian,709.377,Illinois,34800,39.525298,-89.254627
-89.4237186,38.60649181,0500000US17027,17,27,Clinton,474.085,Illinois,37762,38.587753,-89.472099
-113.6011585,42.28484278,0500000US16031,16,31,Cassia,2565.081,Idaho,22952,42.482791,-113.741833
-115.6617227,46.67210667,0500000US16035,16,35,Clearwater,2457.274,Idaho,8761,46.48524,-116.185221
-114.2851937,44.24164053,0500000US16037,16,37,Custer,4920.94,Idaho,4368,44.285168,-114.048035
-115.4665873,45.84449286,0500000US16049,16,49,Idaho,8477.352,Idaho,16267,45.974127,-116.106566
-113.9347694,44.94378445,0500000US16059,16,59,Lemhi,4563.387,Idaho,7936,45.127412,-113.86153
-86.47561638,40.30130546,0500000US18023,18,23,Clinton,405.07,Indiana,33224,40.298201,-86.512307
-140.3626101,59.89049668,0500000US02282,2,282,Yakutat,7649.457,Alaska,662,59.547975,-139.724878
-81.34618614,26.11813844,0500000US12021,12,21,Collier,1998.324,Florida,321520,26.199831,-81.699625
-87.36460249,30.66590519,0500000US12033,12,33,Escambia,656.461,Florida,297619,30.485314,-87.274788
-157.9757247,21.46040339,0500000US15003,15,3,Honolulu,600.743,Hawaii,953207,21.372464,-157.913673
-111.331274,42.28183131,0500000US16007,16,7,Bear Lake,974.785,Idaho,5986,42.306336,-111.341632
-112.3985307,43.21618851,0500000US16011,16,11,Bingham,2093.978,Idaho,45607,43.217372,-112.355721
-113.9788455,43.41291895,0500000US16013,16,13,Blaine,2643.586,Idaho,21376,43.541366,-114.294277
-92.93593114,34.94737327,0500000US05105,5,105,Perry,551.402,Arkansas,10445,34.999054,-92.779271
-90.85059296,34.43531846,0500000US05107,5,107,Phillips,695.663,Arkansas,21757,34.529768,-90.707796
-92.31511117,34.77335108,0500000US05119,5,119,Pulaski,759.763,Arkansas,382748,34.773719,-92.311659
-87.81743206,41.83962179,0500000US17031,17,31,Cook,945.326,Illinois,5194675,41.865937,-87.757714
-86.63498135,38.07867331,0500000US18123,18,123,Perry,381.727,Indiana,19338,38.009327,-86.705205
-87.86490826,38.02494529,0500000US18129,18,129,Posey,409.571,Indiana,25910,38.013245,-87.823041
-85.7499402,38.68594536,0500000US18143,18,143,Scott,190.397,Indiana,24181,38.698198,-85.762718
-87.00900786,38.01421473,0500000US18147,18,147,Spencer,396.744,Indiana,20952,38.015495,-87.011149
-85.02745588,38.82809023,0500000US18155,18,155,Switzerland,220.633,Indiana,10613,38.819835,-85.023499
-87.58338565,38.02643149,0500000US18163,18,163,Vanderburgh,233.475,Indiana,179703,37.996062,-87.551819
-84.97194553,39.14948062,0500000US18029,18,29,Dearborn,305.034,Indiana,50047,39.14462,-84.920935
-86.88247973,38.36520387,0500000US18037,18,37,Dubois,427.269,Indiana,41889,38.357067,-86.914032
-85.85873847,41.59768134,0500000US18039,18,39,Elkhart,463.17,Indiana,197559,41.637679,-85.906728
-84.02208515,33.96231988,0500000US13135,13,135,Gwinnett,430.383,Georgia,805321,33.951956,-84.057963
-84.91277713,32.734814,0500000US13145,13,145,Harris,463.869,Georgia,32024,32.699933,-84.895034
-84.16277334,33.45721658,0500000US13151,13,151,Henry,322.127,Georgia,203922,33.475842,-84.175416
-82.63524693,31.80492149,0500000US13161,13,161,Jeff Davis,330.74,Georgia,15068,31.848776,-82.600696
-82.65895954,32.70856421,0500000US13167,13,167,Johnson,303.01,Georgia,9980,32.701199,-82.679535
-84.14463911,31.78153727,0500000US13177,13,177,Lee,355.784,Georgia,28298,31.681194,-84.173396
-81.49136066,31.82401836,0500000US13179,13,179,Liberty,489.801,Georgia,63453,31.827766,-81.578482
-94.84265122,38.21267528,0500000US20107,20,107,Linn,594.059,Kansas,9656,38.237359,-94.801632
-96.52280119,39.78357897,0500000US20117,20,117,Marshall,900.183,Kansas,10117,39.800028,-96.573612
-90.89054836,39.61994577,0500000US17149,17,149,Pike,831.381,Illinois,16430,39.621311,-90.859127
-89.82718016,38.05120159,0500000US17157,17,157,Randolph,575.5,Illinois,33476,38.055541,-89.809249
-90.57457579,41.46715496,0500000US17161,17,161,Rock Island,427.636,Illinois,147546,41.489142,-90.504005
-90.47704817,39.64251971,0500000US17171,17,171,Scott,250.913,Illinois,5355,39.645737,-90.462754
-88.80625302,39.3911828,0500000US17173,17,173,Shelby,758.523,Illinois,22363,39.396539,-88.802073
-89.25706278,37.4726311,0500000US17181,17,181,Union,413.459,Illinois,17808,37.46858,-89.236505
-87.84807204,38.43996095,0500000US17185,17,185,Wabash,223.252,Illinois,11947,38.431283,-87.789625
-88.17804278,38.08655311,0500000US17193,17,193,White,494.766,Illinois,14665,38.089959,-88.192241
-89.1609199,42.33635569,0500000US17201,17,201,Winnebago,513.362,Illinois,295266,42.307128,-89.06224
-83.6240686,31.71363276,0500000US13287,13,287,Turner,285.393,Georgia,8930,31.700824,-83.636891
-83.98796759,34.82913964,0500000US13291,13,291,Union,321.926,Georgia,21356,34.874243,-84.002286
-82.42211768,31.05868316,0500000US13299,13,299,Ware,892.461,Georgia,36312,31.22682,-82.383943
-88.97730306,36.67877428,0500000US21105,21,105,Hickman,242.274,Kentucky,4902,36.666725,-88.959953
-97.7105941,27.43738474,0500000US48273,48,273,Kleberg,881.308,Texas,32061,27.492495,-97.857766
-98.56835004,28.35237582,0500000US48311,48,311,McMullen,1139.426,Texas,707,28.449157,-98.51005
-94.36162147,32.79983633,0500000US48315,48,315,Marion,380.88,Texas,10546,32.78969,-94.423837
-95.9808717,28.85540935,0500000US48321,48,321,Matagorda,1100.276,Texas,36702,28.915316,-96.002899
-97.72413936,33.67471084,0500000US48337,48,337,Montague,930.906,Texas,19719,33.63828,-97.756255
-81.6526843,37.38202763,0500000US54047,54,47,McDowell,533.456,West Virginia,22113,37.389931,-81.658541
-78.94716573,39.41087358,0500000US54057,54,57,Mineral,327.83,West Virginia,28212,39.465107,-78.909946
-80.55167705,37.55967566,0500000US54063,54,63,Monroe,472.752,West Virginia,13502,37.528463,-80.636561
-79.35415241,38.68372638,0500000US54071,54,71,Pendleton,696.049,West Virginia,7695,38.672518,-79.337502
-79.66774056,39.46755321,0500000US54077,54,77,Preston,648.805,West Virginia,33520,39.495471,-79.676099
-77.27290353,38.83258394,0500000US51059,51,59,Fairfax,390.969,Virginia,1081726,38.843734,-77.258936
-80.7084942,37.31071557,0500000US51071,51,71,Giles,355.781,Virginia,17286,37.317609,-80.71689
